"Story","Title","Result","Date","Stability","Duration (s)"
"View account status","Trevor has just joined the program","SUCCESS","2021-05-11T12:00:48.438181806Z[Etc/UTC]","0.0","45.66"
"View account status","Trevor views his flight history for a single flight","SUCCESS","2021-05-11T12:01:34.167634547Z[Etc/UTC]","0.0","12.12"
"View account status","Trevor views his flight history for a return flight","SUCCESS","2021-05-11T12:01:46.359488329Z[Etc/UTC]","0.0","11.4"
"View account status","Trevor views his flight history after several flights","SUCCESS","2021-05-11T12:01:57.830813735Z[Etc/UTC]","0.0","7.78"
"Earning Points","Tracy goes from Standard to Bronze after she makes several trips","SUCCESS","2021-05-11T12:00:48.553253361Z[Etc/UTC]","0.0","74.58"
"Earning Points","Earning status levels from points earned for status level <Status Level>","SUCCESS","2021-05-11T12:02:03.202357895Z[Etc/UTC]","0.0","6.48"
"Earning Points","The region for <City> should be <Region>","SUCCESS","2021-05-11T12:02:09.688902944Z[Etc/UTC]","0.0","1.37"
"Earning Points","Stan books a single economy flight from London to Sydney","SUCCESS","2021-05-11T12:02:11.067204829Z[Etc/UTC]","0.0","11.35"
"Earning Points","Stan books a return economy flight from London to Sydney","SUCCESS","2021-05-11T12:02:22.490953544Z[Etc/UTC]","0.0","11.74"
"Earning Points","Flights within the <Region> region earn <Points Earned> points","SUCCESS","2021-05-11T12:02:34.316486884Z[Etc/UTC]","0.0","4.15"
"Earning Points","Travellers with <Status> level should earn <Bonus> bonus points","SUCCESS","2021-05-11T12:02:38.46777723Z[Etc/UTC]","0.0","4.15"
"Earning Points","Travellers travelling in <Travel Class> class should earn <Bonus> bonus points","SUCCESS","2021-05-11T12:02:42.625679111Z[Etc/UTC]","0.0","3.05"
"Authentication","Trevor successfully logs on to the Frequent Flyer app","SUCCESS","2021-05-11T12:00:48.570505479Z[Etc/UTC]","0.0","44.96"
"Registering as a new Frequent Flyer","Trevor registers as a Frequent Flyer member","SUCCESS","2021-05-11T12:00:48.562492978Z[Etc/UTC]","0.0","48.22"
"Registering as a new Frequent Flyer","Someone tries to register with an email that is already used","SUCCESS","2021-05-11T12:01:36.852821279Z[Etc/UTC]","0.0","5.24"
"Registering as a new Frequent Flyer","Only correctly structured emails should be accepted","SUCCESS","2021-05-11T12:01:42.18654626Z[Etc/UTC]","0.0","15.8"
"Registering as a new Frequent Flyer","Email addresses need to be well formed","SUCCESS","2021-05-11T12:01:57.999178435Z[Etc/UTC]","0.0","8.01"
"Registering as a new Frequent Flyer","Candy fails to enter to enter a mandatory field","SUCCESS","2021-05-11T12:02:06.078596074Z[Etc/UTC]","0.0","24.43"
"Registering as a new Frequent Flyer","Candy forgets to agree to the Terms and Conditions","SUCCESS","2021-05-11T12:02:30.575406782Z[Etc/UTC]","0.0","3.5"
